Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Condom Availability Programs in Schools: A Review of the Literature,"Andrzejewski, J.; Liddon, N.; Leonard, S.","OBJECTIVE: This review synthesizes findings from the peer-reviewed evaluation literature on condom availability programs (CAPs) in secondary schools. DATA SOURCE: Peer-reviewed evaluation literature indexed in MEDLINE, EMBASE, PsychINFO, ERIC, CINAHL, Sociological Abstracts, SCOPUS, and POPLINE. STUDY INCLUSION AND EXCLUSION CRITERIA: Manuscripts had to be, written in English, and report evaluation data from a US school-based CAP. DATA EXTRACTION: Articles were coded independently by 2 authors. Discrepancies were resolved through open discussion. DATA SYNTHESIS: We grouped findings into outcome evaluation and process evaluation findings. Outcome evaluation findings included sexually transmitted infections (STIs), pregnancy rates, condom use, contraception use, sexual risk, and substance use. Process evaluation findings included awareness of CAPs, attitudes toward CAPs, attitudes toward condoms, and receipt of education and instruction. RESULTS: Of the 138 citations reviewed, 12 articles published between 1995 and 2012 met the inclusion criteria, representing 8 programs. Evaluations indicate CAPs yield condom acquisition rates between 23% and 48%, have mixed results related to condom use, and are not associated with increases in sexual and other risk behaviors. One program found CAPs were associated with a decrease in a combined rate of chlamydia and gonorrhea. One program found no association between CAPs and unintended pregnancy. Students' attitudes toward CAPs were favorable and awareness was high. CONCLUSIONS: Condom availability programs are accepted by students and can be an appropriate and relevant school-based intervention for teens. Condom availability programs can increase condom use, but more evaluations are needed on CAP impact on rates of HIV, STIs, and unintended pregnancy.",2018,Aug-01,Am J Health Promot,,,8.90117E+14,30068218,10.1177/0890117118791118,,#349,Andrzejewski 2018,Meigan Thomson (2020-06-19 20:42:34)(Select): needs full text; ,
Hormonal and intrauterine methods for contraception for women aged 25 years and younger,"Tang, J. H.; Lopez, L. M.; Mody, S.; Grimes, D. A.","Women between the ages of 15 and 24 years have high rates of unintended pregnancy; over half of women in this age group want to avoid pregnancy. However, women under age 25 years have been found to have higher typical contraceptive failure rates within the first 12 months of use than older women. High discontinuation rates may also be a problem in this population. Concern that adolescents and young women will not find hormonal or intrauterine contraceptives acceptable or effective might deter healthcare providers from recommending these contraceptive methods.  This review examined randomized controlled trials of hormonal or intrauterine methods used for contraception in women aged 25 years and younger. In February 2012, we searched the computerized databases Cochrane Register of Controlled Trials (CENTRAL), MEDLINE, EMBASE, POPLINE, CINAHL, and LILACS for randomized controlled trials that compared hormonal or intrauterine methods used for contraception in women aged 25 years and younger. We also searched for current trials via ClinicalTrials.gov and the World Health Organization International Clinical Trials Registry Platform (ICTRP). We considered all randomized controlled trials in any language that reported the contraceptive failure rates for hormonal or intrauterine contraceptive methods, when compared to another contraceptive method, for women aged 25 years and younger. The other contraceptive method could be another intrauterine method, another hormonal method, or a non-hormonal method. Treatment duration must have been at least three months. The first author extracted the data and entered the information into RevMan. Another author performed an independent data extraction and verified the initial entry. Because of disparate contraceptive exposures, we were not able to combine the studies in meta-analysis. Four trials met the inclusion criteria. The trials compared the combined oral contraceptive versus the transdermal contraceptive patch, the combined oral contraceptive versus the vaginal contraceptive ring, the combined oral contraceptive versus the levonorgestrel intrauterine system, and the levonorgestrel intrauterine system versus the copper T380A intrauterine device. Because of small numbers of participants, the trials were not informative regarding contraceptive efficacy. Data on continuation rates were also limited. In one of these trials, the levonorgestrel intrauterine system was found to have a similar 12-month continuation rate as the combined oral contraceptive (odds ratio (OR) 1.48; 95% CI 0.76 to 2.89). In that trial, a higher proportion of women discontinued the levonorgestrel intrauterine system because of pain (OR 14.62; 95% CI 0.81 to 263.16), whereas a higher proportion of women discontinued the combined oral contraceptive for personal reasons (OR 0.27; 95% CI 0.09 to 0.85). Current evidence is insufficient to compare contraceptive efficacy and continuation rates for hormonal and intrauterine methods in women aged 25 years and younger. Limited data suggests that the levonorgestrel intrauterine system may be an acceptable alternative to the combined oral contraceptive in this population.",2012,Nov-14,Cochrane database of systematic reviews (Online),11,,CD009805,23152281,10.1002/14651858.CD009805.pub2,,#15,Tang 2012,Meigan Thomson (2020-06-20 00:01:07)(Select): i have said to exclude - as some of the studies are out of your age range and region (i noticed they have done searches in LILAC) - unless you plan to go through the entire document and read through the individual studies? they surmise the data together; ,
Views of contraceptive service delivery to young people in the UK: A systematic review and thematic synthesis,"Baxter, S.; Blank, L.; Guillaume, L.; Squires, H.; Payne, N.","Background and methodology: Despite widespread availability of contraceptives and increasing service provision in the UK, rates of teenage pregnancy remain a concern. It has been suggested that young people face particular obstacles in accessing services, leading to a need for specialist provision. This systematic review examined the literature reporting views of service providers and young people. Data were synthesised in order to develop key themes to inform the development of contraceptive services for this population. Results: A total of 59 papers reporting studies carried out within the UK were included. Forty-five of these provided qualitative or mixed method data and 14 reported survey findings. Seven key themes were identified: perceptions of services; accessibility; embarrassment; anonymity and confidentiality; the clinic environment; the consultation; and service organisation. Conclusions: This review suggests that the most significant concern for young people is the preservation of anonymity and confidentiality. There seems to be a need for young people to be given greater assurances about this, with process and environmental changes suggested. The fear of staff being critical or unfriendly also presents a considerable obstacle to some young people. Issues of service accessibility - such as convenience of location and opening hours - are also highlighted, with lifestyle factors and restrictions on where under-18s can go suggested as important aspects. The review suggests that varying preferences among young people with regard to which service to access requires choice to be preserved and, where possible, extended. This requires services to work effectively together to consider provision across a locality.",2011,,Journal of Family Planning and Reproductive Health Care,37,2,71-84,,10.1136/jfprhc.2010.0014,,#303,Baxter 2011,Andrew Baxter (2020-06-15 21:02:34)(Select): I think this should have been exclude - no relevant outcomes. don't know why still in?; ,
Contraception for adolescents after abortion,"Sedlecky, K.; Stanković, Z.","Introduction Preventing repeated unplanned pregnancy among adolescents is still a challenge because many of them fail to use effective contraception after abortion.Objective To review currently recommended options of methods and counselling for effective prevention of repeat pregnancies in adolescents.Methods Review of the literature that was identified through the Medline, ScienceDirect, Google and Popline databases and relevant expert opinions.Results Counselling needs to be adapted to the needs, values and lifestyle of adolescents. The best results are achieved with nondirective or active contraceptive counselling, followed by regular check-ups and cautious and attentive approach in the management of doubts, prejudices and side effects related to the contraceptive chosen. Adolescents should initiate contraception immediately after abortion: the motivation for choosing an efficacious method is highest at that time; resumption of ovulation following induced abortion occurs on average after three weeks; more than half of these girls will resume sexual activity within two weeks after pregnancy termination. Long-acting reversible contraception use during adolescence is safe and most effective. However, achieving a high long-term continuation rate is especially challenging in adolescents; this is due to developmental and environmental characteristics that influence their contraceptive behaviour.Conclusion Adolescents should immediately after abortion initiate a reliable contraceptive method, preferably one whose efficacy is not user-dependent. Providing an appropriate health care would contribute to achieving continuity in the prevention of repeat pregnancy. © 2015 The European Society of Contraception and Reproductive Health.",2016,,European Journal of Contraception and Reproductive Health Care,21,1,Apr-14,,10.3109/13625187.2015.1082175,,#44,Sedlecky 2016,,
School-Based Interventions Going beyond Health Education to Promote Adolescent Health: Systematic Review of Reviews,"Shackleton, N.; Jamal, F.; Viner, R. M.; Dickson, K.; Patton, G.; Bonell, C.","Purpose Health education in school classrooms can be effective in promoting sexual health and preventing violence and substance use but effects are patchy and often short term. Classroom education is also challenging because of schools' increasing focus on academic-performance metrics. Other school-based approaches are possible, such as healthy school policies, improving how schools respond to bullying, and parent outreach, which go beyond health education to address broader health determinants. Existing systematic reviews include such interventions but often alongside traditional health education. There is scope for a systematic review of reviews to assess and synthesize evidence across existing reviews to develop an overview of the potential of alternative school-based approaches. Methods We searched 12 databases to identify reviews published after 1980. Data were reviewed by two researchers. Quality was assessed using a modified Assessing the Methodological Quality of Systematic Reviews checklist and results were synthesized narratively. Results We screened 7,544 unique references and included 22 reviews. Our syntheses suggest that multicomponent school-based interventions, for example, including school policy changes, parent involvement, and work with local communities, are effective for promoting sexual health and preventing bullying and smoking. There is less evidence that such intervention can reduce alcohol and drug use. Economic incentives to keep girls in school can reduce teenage pregnancies. School clinics can promote smoking cessation. There is little evidence that, on their own, sexual-health clinics, antismoking policies, and various approaches targeting at-risk students are effective. Conclusions There is good evidence that various whole-school health interventions are effective in preventing teenage pregnancy, smoking, and bullying. © 2016 Society for Adolescent Health and Medicine. All rights reserved.",2016,,Journal of Adolescent Health,58,4,382-396,,10.1016/j.jadohealth.2015.12.017,,#41,Shackleton 2016,,
The effect of follow-up visits or contacts after contraceptive initiation on method continuation and correct use,"Steenland, M. W.; Zapata, L. B.; Brahmi, D.; Marchbanks, P. A.; Curtis, K. M.","Background: We conducted a systematic review to assess whether follow-up visits or contacts after a woman begins using contraception improve method continuation and correct use. Study Design: We searched the PubMed database for all peer-reviewed articles in any language published from database inception through May 2012 that examined the effect of a structured follow-up schedule of visits or contacts on contraceptive use. We included studies that compared women who initiated a method of contraception with a certain follow-up schedule compared to women with a different follow-up schedule or no follow-up at all. To be included, studies must have compared groups on a measure of contraceptive use (e.g., pregnancy, correct use, consistent use, method discontinuation including expulsion). Though not ideally suited to answer our review question, studies in which women used a variety of contraceptive methods but results were not stratified by method type were included. Results: Four studies met our inclusion criteria (Level I, poor to II-2, poor). Two studies examined the effect of a specific follow-up visit schedule on intrauterine device (IUD) continuation: one examining frequency of visits and one examining the timing of the first follow-up visit. Women with more frequent follow-up visits did not have a statistically significant difference in proportion of removals for medical reasons compared with women who had fewer follow-up visits; among women who had their IUDs removed for medical reasons, those who had more frequent follow-up visits had a longer mean time of use prior to removal. The other study found more removals and shorter continuation among women with a follow-up visit at 1 week compared to women with a follow-up visit at 1 month after IUD insertion (no statistical tests reported). Two studies examined the effect of follow-up phone calls compared to no follow-up phone calls after an initial family planning visit among adolescents initiating a variety of contraceptive methods. Neither of the two studies found any differences in method continuation or correct use between study groups. Conclusions: It is difficult to determine what effect, if any, follow-up visits or contacts have on contraceptive method continuation or correct use. Few studies were identified, and those that were identified were mostly of poor quality, were not method specific and had either poor patient compliance with follow-up visits or poor phone contact completion rates. © 2013 Elsevier Inc. All rights reserved.",2013,,Contraception,87,5,625-630,,10.1016/j.contraception.2012.09.018,,#25,Steenland 2013,,
The effect of school-based health clinics on teenage pregnancy and parenting outcomes: an integrated literature review,"Strunk, J. A.","Teenage pregnancy outcomes have become an increasing concern in the United States. Education and support of pregnant teens are critical factors that may determine good or poor pregnancy outcomes. Poor outcomes may include low birth weight, developmental delays, and poor academic performance. Although the number of teenagers experiencing pregnancy and parenting has declined in the U.S., school-based health clinics can be used to provide support and guidance designed to avoid the negative outcomes associated with teenage pregnancy and parenting. By having school-based health clinics, nurse practitioners and school nurses can provide much needed services to pregnant and parenting teens. These services should include educational support, counseling, and community resources. This inquiry provides a metasynthesis of the literature and will review, examine, and summarize the literature relating to the effect of school-based clinics on teenage pregnancy and parenting outcomes.",2008,Feb,The Journal of school nursing,24,1,13-20,351504864,10.1177/10598405080240010301,,#20,Strunk 2008,,
"Effectiveness of peer education interventions for HIV prevention, adolescent pregnancy prevention and sexual health promotion for young people: A systematic review of European studies","Tolli, M. V.","Peer education remains a popular strategy for health promotion and prevention, but evidence of its effectiveness is still limited. This article presents a systematic review of peer education interventions in the European Union that were published between January 1999 and May 2010. The objective of the review is to determine the effectiveness of peer education programs for human immunodeficiency virus (HIV) prevention, adolescent pregnancy prevention and promotion of sexual health among young people. Standardized methods of searching and data extraction were utilized and five studies were identified. Although a few statistically significant and non-significant changes were observed in the studies, it is concluded that, overall, when compared to standard practice or no intervention, there is no clear evidence of the effectiveness of peer education concerning HIV prevention, adolescent pregnancy prevention and sexual health promotion for young people in the member countries of the European Union. Further research is needed to determine factors that contribute to program effectiveness. © The Author 2012. Published by Oxford University Press. All rights reserved.",2012,,Health Education Research,27,5,904-913,,10.1093/her/cys055,,#10,Tolli 2012,,
Sexual abstinence only programmes to prevent HIV infection in high income countries: Systematic review,"Underhill, K.; Montgomery, P.; Operario, D.","Objective: To assess the effects of sexual abstinence only programmes for HIV prevention among participants in high income countries. Design: Systematic review. Data sources: 30 electronic databases without linguistic or geographical restrictions to February 2007, contacts with experts, hand searching, and cross referencing. Review methods: Two reviewers independently applied inclusion criteria and extracted data, resolving disagreements by consensus and referral to a third reviewer. Randomised and quasirandomised controlled trials of abstinence only programmes in any high income country were included. Programmes aimed to prevent HIV only or both pregnancy and HIV. Trials evaluated biological outcomes (incidence of HIV, sexually transmitted infection, pregnancy) or behavioural outcomes (incidence or frequency of unprotected vaginal, anal, or oral sex; incidence or frequency of any vaginal, anal, or oral sex; number of partners; condom use; sexual initiation). Results: The search identified 13 trials enrolling about 15 940 US youths. All outcomes were self reported. Compared with various controls, no programme affected incidence of unprotected vaginal sex, number of partners, condom use, or sexual initiation. One trial observed adverse effects at short term follow-up (sexually transmitted infections, frequency of sex) and long term follow-up (sexually transmitted infections, pregnancy) compared with usual care, but findings were offset by trials with non-significant results. Anothertrial observed a protective effect on incidence of vaginal sex compared with usual care, but this was limited to short term follow-up and countered by trials with non-significant findings. Heterogeneity prevented meta-analysis. Conclusion: Programmes that exclusively encourage abstinence from sex do not seem to affect the risk of HIV infection in high income countries, as measured by self reported biological and behavioural outcomes.",2007,,British Medical Journal,335,7613,248-252,,10.1136/bmj.39245.446586.BE,,#6,Underhill 2007,,
Abstinence-plus programs for HIV infection prevention in high-income countries,"Underhill, K.; Montgomery, P.; Operario, D.","Background: Abstinence-plus interventions promote sexual abstinence as the best means of preventing acquisition of HIV, but also encourage safer-sex strategies (eg condom use) for sexually active participants. Objectives: To assess the effects of abstinence-plus programs for HIV prevention in high-income countries. Search strategy: We searched 30 electronic databases (eg CENTRAL, PubMed, EMBASE, AIDSLINE, PsycINFO) ending February 2007. Cross-referencing, hand-searching, and contacting experts yielded additional citations. Selection criteria: We included randomized and quasi-randomized controlled trials evaluating abstinence-plus interventions in high-income countries (as defined by the World Bank). Interventions were any efforts that encouraged sexual abstinence as the best means of HIV prevention, but also promoted safer sex. Results were self-reported biological outcomes, behavioral outcomes, and HIV knowledge. Data collection and analysis: Three reviewers independently appraised 20070 citations and 325 full-text papers for inclusion and methodological quality; 39 evaluations were included. Due to heterogeneity and data unavailability, we presented the results of individual studies instead of a meta-analysis. Main results: Studies enrolled 37724 North American youth; participants were ethnically diverse. Programs took place in schools (10), community facilities (24), both schools and community facilities (2), healthcare facilities (2), and family homes (1). Median final follow-up occurred 12 months after baseline. Results showed no evidence that abstinence-plus programs can affect self-reported sexually transmitted infection (STI) incidence, and limited evidence that programs can reduce self-reported pregnancy incidence. Results for behavioral outcomes were promising; 23 of 39 evaluations found a significantly protective intervention effect for at least one behavioral outcome. Consistently favorable program effects were found for HIV knowledge. No adverse effects were observed. Several evaluations found that one version of an abstinence-plus program was more effective than another, suggesting that more research into intervention mechanisms is warranted. Methodological strengths included large samples and statistical controls for baseline values. Weaknesses included under-utilization of relevant outcomes, self-report bias, and analyses neglecting attrition and clustered randomization. Authors' conclusions: Many abstinence-plus programs appear to reduce short-term and long-term HIV risk behavior among youth in high-income countries. Evidence for program effects on biological measures is limited. Evaluations consistently show no adverse program effects for any outcomes, including the incidence and frequency of sexual activity. Trials comparing abstinence-only, abstinence-plus, and safer-sex interventions are needed. Copyright © 2008 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.",2008,,Cochrane Database of Systematic Reviews,,1,,,10.1002/14651858.CD007006,,#5,Underhill 2008,,
