Covidence #,Study Id,Reviewer,"1 –	Was it systematic: defining objectives and setting appropriate study eligibility criteria?",,,"2 –	Were search and screening methods appropriate/clear and not likely to have missed key studies?",,,"3 –	Were findings synthesised systematically: presenting all available evidence?",,,"4 –	Was risk of bias and confounding adequately assessed and were results presented to take account of this?",,
,,,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments
#361,Allen-Meares 2013,Andrew,low,"we chose the following six inclusion cri- teria: articles had to have (1) been an experimental, quasi-experimental, or pretest–posttest design; (2) speciﬁcally identiﬁed the inclusion of a social worker in the intervention process (for example, social workers trained teachers or delivered inter- vention); (3) been reporting on an intervention that was delivered primarily during the school day and not solely after school; (4) been published before February 2012; (5) been published in a peer-reviewed journal article; and (6) investigated psychological, behavioral, and/or physiological health outcomes.
A computerized search through several databases (CINHAL, ERIC, MEDLINE, and PsycINFO) was conducted using the following keyword search terms: “school,” and “social work*,” and “effec- tiveness” or “outcome” or “evaluation.” The use of the asterisk was to include all variations of the term “social work” (for example, social worker or social workers). This","

",high,"Additional studies were excluded for either not meeting inclusion criteria or because they did not provide sufﬁcient information to calculate effect sizes. Eighteen
Eighty-eight abstracts were iden- tiﬁed as being potentially relevant for inclusion, and the full articles were examined for inclusion. Additional studies were excluded for either not meeting inclusion criteria or because they did not provide sufﬁcient information to calculate effect sizes. Eighteen studies were included for the ﬁnal sample in this review.","

Likely to have missed studies not reporting meta-analytical results",low,"Table 1: Studies Included in Empirical Review
When not reported in the articles, effect sizes (Hedges’ g) were calculated for all outcome mea- sures using Comprehensive Meta-Analysis 2.0 soft- ware.","

",high,,in several cases effects read from non-RCT study. No RoB assessment
#361,Allen-Meares 2013,Consensus,,,,,,,,,,,,
#353,AmericanAcademyofPediatrics 2001,Andrew,high,"In this policy statement,","
",high,,,high,,,high,,
#353,AmericanAcademyofPediatrics 2001,Meigan,,,,,,,,,,,,
#353,AmericanAcademyofPediatrics 2001,Consensus,,,,,,,,,,,,
#349,Andrzejewski 2018,Andrew,low,The purpose of this review is to provide a comprehensive summary and synthesis of the peer-reviewed evaluation litera- ture on CAPs in secondary schools in the United States.,"
",low,"To be eligible for full- text review, manuscripts had to be peer-reviewed, written in English, and report data from a US CAP evaluation that included an adolescent sample of middle or high school stu- dents. No inclusion criteria based on publication date were used. Qualitative studies were excluded from the synthesis due to differences in analyses performed among a limited number of studies.
and evaluation. Methods Data Sources <b>We conducted a systematic search of MEDLINE, EMBASE, 
PsychINFO, ERIC, CINAHL, Sociological Abstracts, SCO- 
PUS, and POPLINE using keywords related to CAPs (“condom 
availability program,” “condom distribution program,” 
“condom availability campaign,” and “condom distribution 
campaign”) and adolescents (“adolescent,” “adolescents,” 
“school,” “schools,” “student,” and “students”). Additionally, 
we reviewed references of publications meeting inclusion cri- 
teria during title and abstract screening as well as reference lists 
of other CAP-related reviews.</b> Forward citation searches were conducted","

Qual studies in review but not in synthesis?",low,,all studies in table,high,,"no RoB assessment, testing 'association' rather than causation"
#349,Andrzejewski 2018,Consensus,,,,,,,,,,,,
#314,Aslam 2017,Andrew,low,"(PRISMA) checklist.
Unintended Pregnancy in Teenagers (INTERUPT): <b>a systematic review of 
intervention effectiveness</b> and cost- effectiveness, and qualitative
We conducted a mixed-methods systematic review which included meta-analysis, framework synthesis and application of realist principles,","


",low,"First, extensive literature searches were conducted, and the evidence was screened against explicit inclusion and exclusion criteria.","
",low,"utilised for each evidence type. <b>Meta-analysis 
The quantitative data were synthesised with reference to Cochrane guidelines for effectiveness studies</b> [28]. Where possible, data have","
",low,"Firstly, only studies with a low and unclear risk of bias were included for a sensitivity analysis to investigating sources of heterogeneity.","
Trials of low RoB in primary analysis - other observational and quasi-experimental studies (of high RoB) in separate sensitivity analysis"
#314,Aslam 2017,Consensus,,,,,,,,,,,,
